annotation.GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NWMN_RS03425,448.0616740485209,2.6735906186867564,0.5665043033769677,4.719453325860572,2.3647929566848224e-06,1.0654282245709038e-05
NWMN_RS03430,395.6282766795854,3.5091062706223703,0.5940887329914003,5.906703958099078,3.490201215097396e-09,2.386191180391763e-08
NWMN_RS03435,460.1630191740222,2.019437616131577,0.6432484213218077,3.1394365678843728,0.0016927305744957406,0.004476806830474307
NWMN_RS03445,8043.009866415534,-2.0534994416206036,0.35031534232961103,-5.861859854509228,4.5771126553644356e-09,3.072007189515764e-08
NWMN_RS03460,4331.4367853012445,0.7477524091966508,0.22710238747190065,3.2925783718991943,0.0009927322538511953,0.0027970064366431855
NWMN_RS03475,412.07492012930686,0.7881503586238007,0.2961314403314113,2.6614882828441093,0.007779604854553537,0.01745798090161096
NWMN_RS03485,32298.558912030254,-1.7750317363644899,0.3283734172102882,-5.405528107129851,6.461771631213274e-08,3.6517102493927816e-07
NWMN_RS03490,5897.926172057366,1.7641549464362856,0.23473790341597942,7.515424312664256,5.672664728461091e-14,7.667246842661927e-13
NWMN_RS03505,2089.767628905282,-0.9725959955156396,0.2110206689861243,-4.60900820847835,4.045943609631131e-06,1.77380457504456e-05
NWMN_RS03555,793.5049299075993,0.8435431835599589,0.2637225760444527,3.1986005756965326,0.0013809635386211887,0.003729618838651884
NWMN_RS03560,7408.150760532425,-0.5830739386532291,0.24518316049256217,-2.3781157624441227,0.017401361984164414,0.03534501017974669
NWMN_RS03580,2509.815561228575,-1.1786429122694235,0.2460349934102845,-4.790549896713006,1.663248546719564e-06,7.610464879139596e-06
NWMN_RS03585,3075.4040816392476,-1.0127980905866418,0.2613487962608206,-3.875273600173351,0.00010650496351889836,0.00036967935858098097
NWMN_RS03595,4035.102526175335,1.0429022714119607,0.22739472837209712,4.586308041870736,4.5115281489847876e-06,1.966168211140027e-05
NWMN_RS03600,27686.526642970486,-0.956838719108572,0.2993534639729497,-3.1963509171052524,0.0013917772917785085,0.00375536595840512
NWMN_RS03615,371.3892293694339,-1.666078867129411,0.3129249931762464,-5.324211563347507,1.0139184609860272e-07,5.496899900317963e-07
NWMN_RS03635,4683.216899113592,-0.8276638311250185,0.25709986082089853,-3.2192309575056033,0.001285349139493564,0.0034939101261673984
NWMN_RS03650,2246.359151275641,0.6641302860799663,0.22433002713655478,2.96050553087882,0.0030713460692913383,0.007647078116495326
NWMN_RS03665,90.31241624635378,-1.4888967444443397,0.37376942163672605,-3.9834632215885977,6.79181866728654e-05,0.0002450234212933754
NWMN_RS03675,2829.974317128705,-1.6338223500155138,0.40963277132040726,-3.988504983986176,6.649100625226076e-05,0.0002404662408605189
NWMN_RS03680,546.7510982906063,-1.5605706850530785,0.2734981743676662,-5.705963810036949,1.1568657883463708e-08,7.392347183485633e-08
NWMN_RS03685,3387.9190105755806,-1.1308309387080753,0.26340743357839697,-4.293086657979644,1.7620619234096587e-05,7.002882955773075e-05
NWMN_RS03690,1591.025685319827,-1.502797394641849,0.2549818517010174,-5.893742572722294,3.775451916241528e-09,2.57520941170614e-08
NWMN_RS03695,9213.73305449498,-2.6429184270470008,0.24823082380581846,-10.647019522097931,1.8003728172879492e-26,8.25077105172743e-25
NWMN_RS03715,22939.156030170314,0.6689078429470502,0.2528868746186073,2.645087231023228,0.008166986018592762,0.018257446640649825
