annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS10395,983,985,1161,1692,3402,8916,5063,8693
NWMN_RS10400,2828,3185,3862,4513,2864,6181,3216,6482
NWMN_RS15885,346,466,490,684,1529,3080,1639,3474
NWMN_RS10405,119,109,136,137,296,905,499,1019
NWMN_RS10410,8334,6732,8160,7905,2438,3568,1992,3344
NWMN_RS10415,6806,5575,7503,7538,1189,1724,926,1736
NWMN_RS10420,562,552,665,606,255,186,90,209
NWMN_RS10425,1211,787,1169,790,91,290,216,372
NWMN_RS10430,4339,2956,3699,2785,778,1581,491,1689
NWMN_RS10435,4054,3347,4075,3173,1891,1943,684,2199
NWMN_RS10440,5976,4622,6220,4470,3648,3216,1075,3425
NWMN_RS10445,148,121,143,147,91,78,42,148
NWMN_RS10450,3337,2528,4169,2663,11420,11360,4220,11501
NWMN_RS10455,4111,2909,4559,3056,8969,9064,3010,7507
NWMN_RS10460,6089,5034,8906,5053,5288,6250,4453,16755
NWMN_RS10465,21495,22317,9007,13583,8181,14146,10019,17491
NWMN_RS10470,41900,48131,17797,29669,18874,31347,24019,40819
NWMN_RS10475,17420,19913,7499,13156,6678,12797,8039,19185
NWMN_RS10480,8616,11248,4115,8509,5974,10322,5771,16239
NWMN_RS10485,4273,3424,4870,4838,1942,1323,898,1463
NWMN_RS10495,956,934,1256,1185,202,232,81,223
NWMN_RS10500,108,121,227,178,12,21,7,68
NWMN_RS10505,14,22,12,18,2,4,2,5
NWMN_RS10510,3639,3287,3794,2568,862,1379,489,1727
NWMN_RS10515,6770,5694,7374,5854,2118,2949,1084,3165
NWMN_RS10520,17645,14560,17554,24760,1121,2098,1343,3125
NWMN_RS10525,89,62,111,77,8,10,7,23
NWMN_RS10530,3189,2564,2662,2413,1044,1547,797,2945
NWMN_RS10535,3361,2828,2680,2777,2681,2356,1304,2218
NWMN_RS10540,22615,31530,10635,20403,36487,65769,32821,72481
NWMN_RS10545,12793,15644,6449,12570,16127,45741,17591,43495
NWMN_RS10550,6417,5710,7237,6897,1219,1718,603,1981
NWMN_RS10555,10,4,4,3,1,0,0,1
NWMN_RS10560,16008,13271,12323,7043,2048,3237,1106,3682
NWMN_RS10565,11431,10362,10891,7377,1288,2210,645,2445
NWMN_RS10570,702,872,973,948,24,81,19,156
NWMN_RS10575,18042,15108,13167,9875,3037,4971,696,2904
NWMN_RS10580,8067,6044,5713,4340,3118,3462,1507,3497
NWMN_RS10585,7847,5331,6044,3272,1807,2480,957,2570
NWMN_RS10590,7580,6143,7420,5198,1679,2723,1043,2849
NWMN_RS10595,1293,1125,1617,1329,292,552,180,654
NWMN_RS10600,2370,2373,2276,1967,573,833,342,1063
NWMN_RS10605,5831,5573,7941,7390,960,1269,417,1716
NWMN_RS10610,152,128,208,165,42,72,19,74
NWMN_RS10615,117,162,134,157,25,49,9,72
NWMN_RS10620,1377,1006,1147,918,342,451,100,240
NWMN_RS10625,5887,5074,5471,4478,1384,1742,410,1160
NWMN_RS10630,9612,7740,8637,8268,2431,2625,764,2171
NWMN_RS10635,10866,8345,10447,9713,2523,2668,889,2476
NWMN_RS10640,5438,4226,10272,10381,833,939,305,1031
NWMN_RS10645,3259,2848,6158,5774,359,495,104,617
NWMN_RS10650,488,500,304,294,142,217,65,132
NWMN_RS10655,10501,10984,7701,7892,4089,4919,1520,4549
NWMN_RS10660,1440,1331,1668,1453,7613,4774,3576,4802
NWMN_RS10665,8930,8617,11793,12515,3913,6746,1288,5787
NWMN_RS10670,43061,34455,45646,40036,23102,21749,7220,12704
NWMN_RS10675,388,454,506,369,483,394,117,978
NWMN_RS10680,21877,18014,20162,16784,24037,21078,5587,18327
NWMN_RS10685,4819,3965,4792,4117,1233,1148,777,2082
NWMN_RS10690,403,350,647,856,570,946,452,1211
NWMN_RS15455,216,218,373,378,328,338,188,656
NWMN_RS10695,362,658,719,357,732,782,471,1429
NWMN_RS10700,1529,1423,1679,1575,569,853,226,909
NWMN_RS10705,4113,4216,4419,3782,1011,1261,578,1333
NWMN_RS10710,2186,2549,2849,2450,666,784,315,730
NWMN_RS10715,1644,1808,2065,2019,289,386,133,558
NWMN_RS10720,14928,9937,7806,6846,7636,7429,2914,6281
NWMN_RS10725,2469,2587,2993,2018,402,779,200,1355
NWMN_RS10730,3870,3659,4123,2551,454,1105,255,1513
NWMN_RS10735,1422,1255,1547,1055,192,465,114,736
NWMN_RS10740,3753,3127,3831,2948,390,1043,278,1633
NWMN_RS10745,647,520,744,517,67,166,53,333
NWMN_RS10750,83,212,121,65,71,197,21,176
NWMN_RS10755,33,32,39,42,46,145,35,79
NWMN_RS10760,16437,12249,17587,15582,9480,5941,2894,5385
NWMN_RS16035,3316,5805,5532,10419,411,353,162,304
NWMN_RS16040,2872,5315,5062,9071,430,317,139,270
NWMN_RS10770,26261,52633,49597,87855,4658,3931,1738,2720
NWMN_RS10775,865,1598,1380,3143,158,281,82,117
NWMN_RS10780,651,1112,1219,1703,306,407,126,410
NWMN_RS10790,523,763,1056,1191,377,482,94,370
NWMN_RS10795,9853,14177,12573,13332,1295,2743,489,2079
NWMN_RS10800,320,585,514,569,19,19,19,51
NWMN_RS15775,498,575,1126,1052,58,78,23,181
NWMN_RS10810,401,321,512,303,80,107,26,125
NWMN_RS10815,10,7,15,23,13,4,14,13
NWMN_RS10820,0,3,0,7,2,0,0,4
NWMN_RS10825,1424,2485,1418,3641,555,1285,267,334
NWMN_RS15480,2453,3503,2242,4770,811,1774,376,593
NWMN_RS10835,2757,1863,2199,1224,235,177,76,334
NWMN_RS10840,21,19,34,18,21,31,3,16
NWMN_RS10845,15,26,18,4,12,18,4,5
NWMN_RS10850,6,1,8,1,4,2,1,0
NWMN_RS10855,711,499,726,595,911,785,395,628
NWMN_RS10860,28,36,42,28,37,35,12,26
NWMN_RS10865,1391,1078,1455,910,7548,4016,2940,2175
NWMN_RS15890,0,1,1,4,1,5,1,3
NWMN_RS10875,8,7,13,4,9,16,3,9
NWMN_RS15490,37,46,27,31,35,23,6,13
NWMN_RS10880,48,31,18,30,23,34,4,11
NWMN_RS10885,25,15,18,14,44,19,8,11
NWMN_RS10890,54,49,25,27,69,51,9,31
NWMN_RS10895,19,20,9,12,24,42,3,26
NWMN_RS10900,8,11,9,12,20,9,3,12
NWMN_RS10905,17,13,24,13,30,12,4,15
NWMN_RS10910,85,98,115,85,221,146,57,98
NWMN_RS10915,108,82,87,78,172,105,30,69
NWMN_RS10920,113,100,166,116,115,133,36,77
NWMN_RS10925,73,40,77,49,50,88,20,80
NWMN_RS10930,14,0,5,8,6,7,0,2
NWMN_RS10935,4,3,2,7,0,3,0,0
NWMN_RS10940,95,56,106,68,47,61,52,52
NWMN_RS10945,3,3,7,2,0,4,0,2
NWMN_RS10950,30,40,41,33,18,70,31,92
NWMN_RS10955,67,49,70,30,35,42,21,26
NWMN_RS10960,10,12,9,11,14,10,13,11
NWMN_RS10965,59,55,67,39,28,44,26,20
NWMN_RS10970,2,4,0,0,1,0,0,6
NWMN_RS10975,6,0,5,4,0,6,0,3
NWMN_RS15895,3,2,7,5,0,1,2,1
NWMN_RS10980,20,9,11,15,7,14,7,17
NWMN_RS10985,25,6,18,9,3,6,1,9
NWMN_RS10990,21,15,12,18,3,0,2,7
NWMN_RS10995,7,12,14,8,2,5,4,5
NWMN_RS11000,38,27,27,32,18,9,13,29
NWMN_RS11005,12,6,13,15,13,10,9,12
NWMN_RS11010,42,48,36,53,47,26,24,43
NWMN_RS11015,67,67,65,59,81,57,46,55
NWMN_RS11020,80,41,82,66,53,49,47,60
NWMN_RS15495,7,1,2,3,3,3,3,4
NWMN_RS11025,20,8,5,8,10,7,12,16
NWMN_RS11030,16,11,8,5,17,35,4,33
NWMN_RS11035,37,31,71,79,13,31,11,27
NWMN_RS11040,33,28,91,115,10,23,5,34
NWMN_RS11045,339,426,689,629,82,191,23,254
NWMN_RS11050,17,13,28,33,7,12,2,13
