annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS13620,495,266,490,420,154,243,103,299
NWMN_RS13625,1273,703,1634,1150,658,670,287,723
NWMN_RS13630,30,19,55,31,53,89,44,169
NWMN_RS13635,57,22,32,35,72,77,37,229
NWMN_RS13640,72,63,91,52,78,189,46,485
NWMN_RS13645,1431,1282,2045,1038,6045,5916,2621,4413
NWMN_RS13650,2390,1726,3055,1598,11021,10483,5596,7215
NWMN_RS13655,6751,5529,8734,7662,7621,7455,960,2687
NWMN_RS13660,2344,2383,4419,3126,31635,21786,10208,19727
NWMN_RS13665,183,146,196,233,51,74,13,83
NWMN_RS13670,150,136,214,241,21,19,5,45
NWMN_RS13680,1485,1274,1643,1253,159,417,81,735
NWMN_RS13685,5100,3944,5076,4277,4250,3540,1354,3583
NWMN_RS13690,1255,1345,1613,1174,5868,3246,1842,2419
NWMN_RS13695,375,329,484,313,1129,608,249,526
NWMN_RS13700,9644,9286,25432,24194,1368,1053,1384,622
NWMN_RS15600,105,96,102,102,88,91,40,65
NWMN_RS13705,348,285,379,353,313,272,118,229
NWMN_RS15795,5,1,9,5,0,0,0,1
NWMN_RS13710,79,55,82,64,20,15,5,36
NWMN_RS13715,160,140,160,138,15,30,3,77
NWMN_RS13725,677,642,762,557,320,304,225,488
NWMN_RS13730,796,621,664,544,185,327,127,339
NWMN_RS13735,516,398,419,321,86,139,35,164
NWMN_RS13740,4100,3907,3878,3418,454,656,268,732
NWMN_RS13745,160,218,359,492,14,31,6,77
NWMN_RS13750,6245,5216,6369,6111,1494,2072,661,2542
NWMN_RS13755,1273,1109,1829,2321,768,1085,285,2524
NWMN_RS13760,174,126,268,268,95,89,35,234
NWMN_RS13765,29,44,49,47,11,22,2,21
NWMN_RS13770,724,562,639,515,183,298,121,322
NWMN_RS13775,1356,1152,1104,1026,490,540,186,309
NWMN_RS13780,2,4,14,9,1,0,2,1
NWMN_RS13785,4,24,17,7,3,0,2,4
NWMN_RS13790,2473,2219,2677,2594,838,651,341,451
NWMN_RS13795,5508,7363,12916,9864,2982,3967,1134,2937
NWMN_RS13800,10122,14411,20750,17377,5058,7143,1845,5265
NWMN_RS13805,2,9,1,2,0,0,0,0
NWMN_RS13810,53961,41059,69354,24341,1287,1339,247,821
NWMN_RS13815,31011,26338,45111,21215,680,582,229,499
NWMN_RS13820,7756,7276,13020,9489,469,391,145,389
NWMN_RS13825,13268,12943,10555,14691,49899,23335,18582,20001
NWMN_RS13830,5335,6653,4672,6816,13729,8184,7603,13651
NWMN_RS13835,2004,1553,3024,1949,17053,21995,5888,20272
NWMN_RS13840,4830,3511,6635,5136,2150,4161,1125,6362
NWMN_RS13845,27195,26237,11826,6497,7579,11125,1366,4669
NWMN_RS13850,2921,3539,5404,4941,929,1466,385,2588
NWMN_RS13855,10,16,23,25,2,10,4,6
NWMN_RS13860,399,265,366,249,351,291,166,566
NWMN_RS13865,111,98,86,59,26,38,11,46
NWMN_RS13870,126,86,73,55,30,64,37,76
NWMN_RS13875,201,238,212,118,214,166,67,178
NWMN_RS13880,42987,33232,25870,17766,7735,14097,4758,20188
NWMN_RS13890,3307,2828,3650,2518,801,1524,351,1298
NWMN_RS13895,277,226,209,133,487,391,161,189
NWMN_RS13900,317,207,127,148,658,424,286,316
NWMN_RS13905,340,292,201,226,454,382,144,237
NWMN_RS13910,516,387,702,587,1058,1306,457,1227
NWMN_RS13915,4187,2142,3081,1727,11242,5815,2549,6058
NWMN_RS13920,12140,6264,6849,4787,7947,6480,3182,9795
NWMN_RS13925,5462,7241,9900,5193,490,439,431,532
NWMN_RS13930,402,371,408,400,119,856,79,1003
NWMN_RS13935,303,329,914,1115,93,150,38,118
NWMN_RS13940,625,478,1499,1656,205,227,107,175
NWMN_RS13945,2912,2583,4031,4244,1043,1274,518,2820
NWMN_RS13950,866,850,916,933,445,513,106,343
NWMN_RS13955,143,151,160,136,33,77,9,64
NWMN_RS13960,16,10,18,8,4,11,3,9
NWMN_RS13965,2286,1456,3041,3748,461,719,506,1293
NWMN_RS13970,933,646,1401,1733,218,412,256,778
NWMN_RS13975,2376,1540,3534,4747,605,1101,683,1705
NWMN_RS13980,571,559,1253,3711,1880,1057,1691,2515
NWMN_RS13985,2202,2253,2867,3327,919,1213,610,1521
NWMN_RS13990,20874,15736,14899,13191,8144,6163,2517,5859
NWMN_RS13995,5608,3722,3317,3224,3453,2886,1216,2583
NWMN_RS14000,3735,2676,2639,2594,2604,2257,1062,2361
NWMN_RS14005,4868,6058,7517,6534,465,804,178,531
NWMN_RS14010,23229,14892,24790,11472,60825,66405,32018,36843
NWMN_RS14015,6165,4358,7209,3205,19377,21076,10913,13915
NWMN_RS14020,32,50,55,30,2,17,3,34
NWMN_RS14025,1522,1522,2429,2582,285,486,267,1099
NWMN_RS14030,6433,4176,3551,6582,541,1593,269,615
NWMN_RS14035,1798,1857,2935,1924,922,1295,339,3033
NWMN_RS14040,43,74,55,39,12,16,1,43
NWMN_RS15825,88,102,86,84,33,26,4,28
NWMN_RS14050,189,162,208,230,73,51,8,43
NWMN_RS14055,6265,6010,6495,4908,1499,2127,610,1970
NWMN_RS14060,22119,18901,22257,12766,5336,9822,2111,8137
NWMN_RS14065,3075,2524,3414,3221,3348,1726,1059,1918
NWMN_RS14070,152709,104649,254292,190689,76103,63885,76038,56896
NWMN_RS14075,139,107,326,309,37,25,65,65
NWMN_RS14080,613,448,1539,1504,151,228,150,261
NWMN_RS14085,11,6,26,54,2,8,0,15
NWMN_RS14090,911,1168,1246,1090,364,585,133,356
NWMN_RS14095,5750,6025,6282,6818,2101,2003,566,1409
NWMN_RS14100,303,335,342,312,89,114,34,163
NWMN_RS14105,85842,84612,73589,68885,24361,29764,8421,26933
NWMN_RS14110,1856,1681,1286,1137,747,1285,260,1174
NWMN_RS14115,22727,28009,9487,21551,22345,22432,15381,49577
NWMN_RS14120,17642,11664,9912,7936,13352,6140,2390,4448
NWMN_RS14125,1998,1421,1425,1233,584,417,110,400
NWMN_RS14130,4755,4370,5649,5787,928,629,337,653
NWMN_RS14135,5731,5278,7066,7650,3264,1383,860,1172
NWMN_RS14140,3115,2148,3458,1891,2821,2352,1523,1870
NWMN_RS14145,1088,806,1447,855,1353,1155,972,1209
NWMN_RS14150,1978,1536,3020,1537,4662,2974,3049,3691
NWMN_RS14155,3354,2661,4818,2752,6611,4617,5002,8119
NWMN_RS14160,836,917,1012,674,1722,1548,1486,3834
NWMN_RS14165,2961,4169,10437,6243,1195,2988,319,6153
NWMN_RS14170,3882,4339,4408,3608,393,612,226,971
NWMN_RS14175,420,737,799,374,71,123,21,186
NWMN_RS14180,42385,37072,79414,47972,8289,13753,2600,28249
NWMN_RS14185,497,279,1573,2049,89,113,39,129
NWMN_RS15620,5,2,18,30,0,0,0,2
NWMN_RS14195,870,634,759,589,344,412,108,294
NWMN_RS15625,3179,2428,1571,1617,1538,1454,315,690
NWMN_RS14205,1386,965,526,494,482,396,123,227
NWMN_RS14210,577,547,756,416,111,169,65,245
NWMN_RS14215,1274,1054,1932,1229,226,473,134,597
NWMN_RS14220,127,108,253,192,11,71,25,105
NWMN_RS14225,850,726,710,488,180,248,90,302
NWMN_RS14230,1276,924,948,676,196,310,158,286
NWMN_RS14235,6419,4456,5056,2229,4582,9609,2837,5105
NWMN_RS14240,13930,8979,11506,5945,37606,29296,10849,13833
NWMN_RS14245,566,462,525,332,199,316,95,322
NWMN_RS14250,399,298,519,389,143,217,29,278
NWMN_RS14255,242,253,362,254,128,168,50,335
NWMN_RS14260,630,520,695,527,125,95,75,68
NWMN_RS14265,289,207,279,151,55,48,36,51
NWMN_RS14270,264,236,275,176,97,55,31,57
NWMN_RS14275,2058,1297,4166,3604,9319,4729,6757,4359
NWMN_RS14280,3426,2820,6774,6163,425,507,192,1007
NWMN_RS14285,831,779,1188,864,113,249,56,214
NWMN_RS14290,337,260,390,206,45,34,9,87
NWMN_RS14295,10929,10631,14597,10098,6341,6914,2473,5986
NWMN_RS14300,469,472,630,628,186,199,126,365
NWMN_RS14305,15,28,38,38,6,9,4,15
NWMN_RS14310,1448,1354,1985,1663,865,1043,303,634
NWMN_RS14315,1575,1309,1272,1057,536,912,172,861
NWMN_RS14320,5466,4184,3631,3439,2221,3478,765,2310
NWMN_RS14325,4158,3067,3067,2919,1976,2789,852,1860
NWMN_RS14330,1283,1157,1753,1905,398,472,156,763
NWMN_RS14335,2089,1879,2444,2941,643,529,307,472
NWMN_RS14340,7150,6164,11515,8413,2031,1419,609,1092
NWMN_RS14350,8294,5459,19755,18642,4075,5452,537,3463
NWMN_RS14355,640,441,1379,1504,723,451,143,465
NWMN_RS14360,428,360,935,570,3751,1229,1626,2282
NWMN_RS14365,38616,25666,57468,41268,24294,14581,7535,15696
NWMN_RS14370,107079,93709,103870,71647,32145,31430,7879,18427
NWMN_RS14375,1239,1531,1369,1203,970,686,328,844
NWMN_RS14380,26051,20833,30375,31286,35009,21037,14037,27372
NWMN_RS14385,2307,1871,3215,2579,18477,7977,9692,7364
NWMN_RS14390,114,113,79,118,37,94,64,98
NWMN_RS14395,32987,15164,12055,4790,281,2188,1211,6862
NWMN_RS14400,41410,23060,22351,12994,359,5812,3280,16772
NWMN_RS14405,7,4,3,0,0,5,2,10
NWMN_RS14410,1337,830,969,797,76,508,205,615
NWMN_RS14415,1197,825,1158,519,2499,4309,1314,6281
NWMN_RS14420,15358,10032,8616,3623,418,3228,801,4024
NWMN_RS14425,1,0,1,1,2,2,1,2
NWMN_RS14430,0,2,1,0,2,0,1,2
NWMN_RS14435,7963,1769,7823,9068,648,679,5774,1715
NWMN_RS14440,22572,4595,19915,24656,3530,1861,9389,2556
NWMN_RS14445,366,265,275,354,68,134,66,199
NWMN_RS14450,354,301,217,203,117,155,66,111
NWMN_RS14455,4049,3214,2229,2305,1651,2122,829,1292
NWMN_RS14460,4515,3365,2508,2694,2096,2821,1233,1986
NWMN_RS14465,8,8,17,13,0,10,0,8
NWMN_RS14470,1265,997,1269,1019,425,586,131,347
NWMN_RS14475,256,221,348,214,75,123,26,63
NWMN_RS14480,65,69,109,118,7,20,3,13
NWMN_RS14490,1828,1607,1809,1644,556,736,213,688
NWMN_RS14495,539,399,568,511,206,233,52,136
NWMN_RS14500,2965,3062,2575,1435,1285,1960,467,1570
NWMN_RS14505,2578,2550,2565,1530,1084,1722,442,1622
NWMN_RS14510,240,242,173,145,79,121,45,151
NWMN_RS14520,114,85,135,170,41,64,23,52
NWMN_RS15830,1137,972,965,961,261,381,152,503
NWMN_RS14525,1433,1447,1592,1742,327,491,201,875
NWMN_RS14530,1236,992,915,908,222,322,130,220
NWMN_RS14535,35202,29441,55328,38287,13945,14579,3144,10992
NWMN_RS14540,54886,79597,209300,274650,608,1225,522,918
NWMN_RS14545,82514,117375,321458,433737,729,1526,696,993
NWMN_RS14550,93427,133252,377789,509778,674,1224,623,819
NWMN_RS14555,69579,99613,273042,395675,583,1299,398,620
NWMN_RS14560,50173,68496,180219,279667,569,1037,307,452
NWMN_RS14565,2,3,2,3,1,0,0,0
NWMN_RS14570,251,243,462,707,33,20,10,46
NWMN_RS14575,645,408,772,839,200,179,187,507
NWMN_RS14580,19622,11040,15755,11427,10811,6402,4611,8482
NWMN_RS14585,577,434,612,420,77,105,35,67
NWMN_RS14590,2035,1844,2822,4183,554,802,180,424
NWMN_RS14595,4784,5041,9020,13326,1010,2013,476,1028
NWMN_RS14600,3029,2912,6068,8166,605,957,195,678
NWMN_RS14605,12436,11710,13995,11389,1548,2578,717,2901
NWMN_RS14610,29501,21017,22109,17018,9741,12463,3988,9576
NWMN_RS14615,5428,4473,6564,6033,6257,3739,2867,4355
NWMN_RS14620,34472,26220,38020,36480,121517,50122,39209,36544
NWMN_RS14625,8091,6501,10750,7570,37887,14933,7587,7876
NWMN_RS14630,8058,6570,11788,8510,56071,18728,10888,9499
NWMN_RS14635,9275,7556,13367,10117,103883,31412,24999,19837
NWMN_RS14640,598,430,380,287,54,96,21,73
NWMN_RS14645,1132,789,695,422,107,186,66,175
NWMN_RS14650,972,540,645,359,61,105,38,72
NWMN_RS14655,233,235,226,166,44,44,17,67
NWMN_RS14660,33620,19326,21592,11585,4595,5895,1487,3624
NWMN_RS14665,1437,1127,1348,1008,1112,1354,551,1083
NWMN_RS14670,292,305,479,286,511,764,312,704
NWMN_RS14675,260,187,327,206,389,590,201,554
NWMN_RS14680,1494,1328,2265,1340,7590,7564,3282,10098
NWMN_RS14685,908,589,943,756,2178,2644,1106,4247
NWMN_RS14690,115,111,123,117,39,55,32,148
NWMN_RS14695,38,60,80,79,23,18,26,85
NWMN_RS14700,62,74,89,53,19,31,29,58
NWMN_RS14705,33,35,49,30,9,19,19,22
NWMN_RS14710,14,7,33,19,3,10,8,12
NWMN_RS14715,7787,8403,8438,8648,5486,5932,3965,8201
NWMN_RS14720,101,63,86,87,46,81,20,73
NWMN_RS14725,40,18,35,41,12,16,11,8
NWMN_RS14730,130,101,172,135,54,57,29,61
NWMN_RS14735,229,307,325,252,85,105,19,116
NWMN_RS14740,28650,22487,15349,14526,23544,26436,10921,34772
NWMN_RS15650,97,94,105,71,90,82,69,53
NWMN_RS16015,512,275,533,372,773,395,671,398
NWMN_RS14760,156,85,110,80,193,140,118,82
NWMN_RS14765,109,71,85,66,114,58,45,41
NWMN_RS14770,64,56,78,54,18,44,1,20
NWMN_RS14775,110,57,100,69,30,45,8,50
NWMN_RS14780,106,70,111,90,32,28,1,64
NWMN_RS14785,20,27,44,28,6,16,4,18
NWMN_RS14790,73,43,98,54,9,22,4,44
NWMN_RS14795,705,869,1544,1324,124,120,64,200
NWMN_RS14800,114,79,116,98,18,41,12,83
NWMN_RS14805,145,201,217,194,75,85,50,178
NWMN_RS14810,623,465,506,341,299,464,218,485
NWMN_RS14815,175,140,173,136,50,76,55,75
NWMN_RS14820,238,202,152,159,85,93,42,91
NWMN_RS14825,4670,3111,4476,2711,12976,7879,4918,8452
NWMN_RS14830,12368,17269,4661,8842,2412,8251,2283,6811
NWMN_RS14835,3258,2500,1720,1509,791,1845,621,2389
NWMN_RS14840,379,476,704,688,107,308,19,312
NWMN_RS14845,1661,1403,1124,899,357,635,128,352
NWMN_RS14850,114,95,77,72,33,56,18,46
NWMN_RS14855,798,670,829,462,2047,3609,1198,5020
NWMN_RS14860,6502,6124,8927,6659,2215,1710,731,1084
NWMN_RS14865,2155,1870,2382,2108,455,976,353,1635
NWMN_RS14870,371,326,339,214,2186,1328,868,1700
NWMN_RS14875,2740,1835,2665,1516,5276,4411,2353,4259
NWMN_RS14880,2975,2215,1710,1566,2103,1080,521,944
NWMN_RS14885,1862,1025,2758,1673,10419,3283,3340,2884
NWMN_RS14890,155,200,176,158,107,101,44,78
NWMN_RS14895,369,302,386,321,183,158,29,155
NWMN_RS14900,62,67,77,62,34,42,7,26
NWMN_RS14905,751,891,1029,835,365,493,83,295
NWMN_RS14910,140,209,229,204,17,72,17,118
NWMN_RS15810,6,20,25,17,5,7,5,10
NWMN_RS15655,151,158,177,149,37,86,31,70
NWMN_RS14915,82,58,80,49,22,27,14,23
NWMN_RS14920,27718,33816,95988,89886,1519,7436,915,25950
NWMN_RS14925,743,575,1900,2252,86,120,288,322
NWMN_RS14930,553,375,1420,2093,45,42,33,50
NWMN_RS14935,322,244,931,1316,15,15,15,34
NWMN_RS14940,5569,3654,3591,2840,2712,2439,1108,1885
NWMN_RS14945,3284,2113,2339,1331,1051,924,317,740
NWMN_RS14950,8201,5657,6338,4038,3424,2658,1244,2394
NWMN_RS14955,2628,1739,2392,1714,1622,1109,751,1151
NWMN_RS14960,420,381,597,437,147,166,84,354
NWMN_RS14965,2035,1268,1912,1103,254,628,147,544
